Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,09-Jul-19,717.6,718,719.85,709.05,713.8,715.5,713.79,5022638,3585086283,121716,3127520,62.27
INFY,EQ,10-Jul-19,715.5,709,722.7,706.5,717.55,717.25,716.16,7573816,5424075999,130598,4573427,60.38
INFY,EQ,11-Jul-19,717.25,719.45,723.5,709.6,722.4,721.5,716.61,6252688,4480742890,104709,3347756,53.54
INFY,EQ,12-Jul-19,721.5,722.5,730.6,719.6,730.05,726.75,724.08,7874441,5701708861,122936,4012131,50.95
INFY,EQ,15-Jul-19,726.75,763,781.65,754.2,779.4,779.35,769.12,31064152,23891946222,665352,12612049,40.6
INFY,EQ,16-Jul-19,779.35,777,787.8,776,782.9,784.85,782.56,9924322,7766341596,231682,4334802,43.68
INFY,EQ,17-Jul-19,784.85,783.9,795,776.75,794,794.15,789.65,6754348,5333567144,159078,3125761,46.28
INFY,EQ,18-Jul-19,794.15,789.05,798.5,786.2,791.75,792.7,793.85,6534471,5187412944,148380,3373686,51.63
INFY,EQ,19-Jul-19,792.7,788.7,794.5,781.25,785,785.4,786.53,6812754,5358405148,96268,4152096,60.95
INFY,EQ,22-Jul-19,785.4,785.95,792,782.05,784.1,784.4,787.13,7107151,5594276879,132725,4990428,70.22
INFY,EQ,23-Jul-19,784.4,787,804,785.55,790,790.05,795.33,10782564,8575674727,207585,6306627,58.49
INFY,EQ,24-Jul-19,790.05,788,793.75,783.6,786.65,786.3,786.78,5745146,4520166052,236924,3675199,63.97
INFY,EQ,25-Jul-19,786.3,788.25,800.2,787.65,792.9,794.5,793.82,9773568,7758491817,259756,6336962,64.84
INFY,EQ,26-Jul-19,794.5,792.3,795,782.2,789.5,787,786.88,4941763,3888567432,201172,2730307,55.25
INFY,EQ,29-Jul-19,787,789.5,796.95,786.2,791.85,791.45,790.84,6244316,4938229661,190597,3623676,58.03
INFY,EQ,30-Jul-19,791.45,791.9,797.8,788.55,791.65,792.7,793.92,8673253,6885836889,193679,6033235,69.56
INFY,EQ,31-Jul-19,792.7,790.85,799.8,781.6,795,793.65,792.38,7350584,5824475368,209577,4494630,61.15
INFY,EQ,01-Aug-19,793.65,786.45,788.4,764.4,770.25,768.85,774.33,10066407,7794755234,216329,6020077,59.8
INFY,EQ,02-Aug-19,768.85,765.05,779.9,762.25,774.75,775.6,770.48,10838336,8350680485,227612,6835374,63.07
